p001.hs: 233168
			1.72 seconds
p002.hs: 4613732
			1.47 seconds
p003.hs: 6857
			1.26 seconds
p004.hs: 906609
			2.07 seconds
p005.hs: 232792560
			0.86 seconds
p006.hs: 25164150
			1.58 seconds
p007.hs: 104743
			1.32 seconds
p008.hs: 23514624000
			1.09 seconds
p009.hs: 31875000
			1.47 seconds
p010.hs: 142913828922
			1.46 seconds
p011.hs: 70600674
			1.35 seconds
p012.hs: 76576500
			1.25 seconds
p013.hs: 5537376230
			0.99 seconds
p014.hs: 531441
			1.75 seconds
p015.hs: 137846528820
			1.52 seconds
p016.hs: 1366
			1.19 seconds
p017.hs: 21124
			0.89 seconds
p018.hs: 1074
			1.57 seconds
p019.hs: 171
			1.40 seconds
p020.hs: 648
			1.11 seconds
p021.hs: 31626
			1.02 seconds
p022.hs: 871198282
			0.94 seconds
p023.hs: "slow (>5s)"
			1.80 seconds
p024.hs: 2783915460
			1.51 seconds
p025.hs: "3 seconds"
			1.24 seconds
p026.hs: "7 seconds"
			0.94 seconds
p027.hs: "4 seconds"
			1.72 seconds
p028.hs: 669171001
			1.77 seconds
p029.hs: 9183
			1.51 seconds
p030.hs: 443839
			3.52 seconds
p031.hs: 73682
			1.26 seconds
p032.hs: 45228
			16.14 seconds
p033.hs: 100
			1.35 seconds
p034.hs: 40730
			1.21 seconds
p035.hs: "5 seconds"
			1.01 seconds
p036.hs: "4 seconds"
			0.73 seconds
p037.hs: 748317
			2.48 seconds
p038.hs: 932718654
			1.93 seconds
p039.hs: "4 seconds"
			1.67 seconds
p040.hs: 210
			1.67 seconds
p041.hs: 7652413
			2.16 seconds
p042.hs: 162
			1.03 seconds
p043.hs: "55 seconds"
			0.78 seconds
p044.hs: "15 seconds"
			1.49 seconds
p045.hs: 1533776805
			1.47 seconds
p046.hs: "4 seconds"
			1.23 seconds
p047.hs: 134043
			1.68 seconds
p048.hs: 9110846700
			1.38 seconds
p049.hs: 296962999629
			1.22 seconds
p050.hs: "5 seconds"
			0.99 seconds
p051.hs: "31 seconds"
			1.82 seconds
p052.hs: "32 seconds"
			1.57 seconds
p053.hs: 4075
			1.34 seconds
p054.hs: 376
			1.18 seconds
p055.hs: 136
			1.43 seconds
p056.hs: 972
			1.43 seconds
p057.hs: 153
			1.65 seconds
p058.hs: 26241
			1.92 seconds
p059.hs: 107359
			1.76 seconds
p062.hs: 127035954683
			1.52 seconds
p063.hs: 49
			1.27 seconds
p067.hs: 7273
			1.10 seconds
p069.hs: 510510
			0.85 seconds
p071.hs: "19 seconds"
			1.69 seconds
p076.hs: 190569291
			1.37 seconds
p079.hs: 73162890
			1.18 seconds
p092.hs: 85623
			2.67 seconds
p097.hs: 8739992577
			1.48 seconds
p099.hs: 709
			1.27 seconds
p206.hs: 1929374254627488900
			3.79 seconds
